,Generation,label
0,latest headlines on cnn business latest headlines on cnn business 1 united technologies shares fall after company misses earnings estimates  2 chipotle to sell shares to raise money  3 goldman sachs drops insurance investment  4 sears files for chapter 11 bankruptcy  5 tesla shares fall after sec charges company with securities fraud  1 trump orders review of existing trade deals  2 airlines brace for increased fuel prices  3 china announces new tariffs on us goods  4 sears files for bankruptcy protection  5 uber reaches a settlement with regulators in california  1 the economy is booming but some workers are struggling  2 amazons robots are stealing jobs  3 tax hikes could mean less money for businesses  4 tech companies are retooling their strategies to stay afloat  5 airlines are struggling with baggage fees  amazon is expected to announce a 137 billion cash infusion today ibm is expected to report earnings for the third quarter tomorrow apple is expected to report earnings for the third quarter tomorrow  1 uber completes its acquisition of jump biking for 250 million  2 yahoo reportedly considering sale of its core business  3 snap inc reports strong fourth quarter results  4 american airlines ditching one mile elite status for alist elite status  5 tesla announces newoni utility vehicle  apple to unveil new iphones watches homepod  facebook to face more eu scrutiny over data practices  netflix now available in india  1 walmart announces 20 billion investment in shipping and technology  walmart is investing 20 billion in shipping and technology over the next five years as it looks to increase its ecommerce presence the company plans to use the money to improve its global supply chain and speed up deliveries to customers  2 amazon announces new delivery program for prime members  amazon is announcing a new delivery program for prime members that will allow them to have items delivered to their homes within an hour the program which is available in select cities starts at 999 per month  3 gm to invest 1 billion in ridehailing company lyft  general motors is investing 1 billion in ridehailing company lyft as the two companies look to disrupt the car industry gm will invest in lyfts core technology marketing and leasing businesses,gpt3
1,china wants to take a victory lap over its handling of the coronavirus outbreak china wants to take a victory lap over its handling of the coronavirus outbreak beijing wants to take a victory lap over its handling of the coronavirus outbreak as the death toll from the disease has now fallen below 100 according to reports  since the outbreak began in november the chinese government has responded swiftly and efficiently with hospitals rolling out guidelines and communication campaigns to help the public while limiting the spread of the virus  and despite the recent death of a child the countrys overall coronavirus death toll stands at just under 100 which is markedly lower than the global total of more than 10000  the chinese have done a really good job dr tom frieden the director of the centers for disease control and prevention told reporters on a call  however frieden warned that there is still much work to be done as the outbreak continues to spread to new countries  this is not over yet he said but will have to reckon with a number of challenges ahead  the chinese government has been applauded for its response to the coronavirus which has killed more than 1000 people since early october  but experts say the chinese health care system is not well equipped to deal with a major outbreak and the countrys sprawling and crowded cities are rife with places where people can easily spread the virus  and even if china manages to contain the outbreak experts say the countrys economic growth and burgeoning middle class will mean that the virus will continue to spread  china is one of the economies that has really come to the fore in recent years said james hardy an infectious diseases specialist at the london school of hygiene and tropical medicine its become an economic powerhouse its very much a country of opportunity so the virus will continue to spread  chinas response  chinas response to the coronavirus has been widely praised with state media lauding the countrys fast and effective response  china has set up centers for disease control and preventionstyle facilities in five provinces guangdong hubei hunan jiangxi and sichuan five other provinces have set up similar facilities and the ministry of health is providing support to other provinces  experts say the chinese response is impressive  china has done a really good job in setting up these centers hardy said  chinese officials have also been quick to publicize the countrys successes  in early december the ministry of health released a report that said china had killed all of the coronavirus patients the report gave no indication of how many patients had died after being treated at the chinese facilities  but experts say the report is likely to be misleading  the ministry is putting out a good headline but the data behind it isnt very reliable hardy said  chinese officials have also claimed that the countrys hospitals have successfully treated all of the patients who have contracted the virus  but experts say thats not always the case,gpt3
2,coronavirus disinformation creates challenges for chinas government coronavirus disinformation creates challenges for chinas government  health sector  as the global pandemic of coronavirus cov gains momentum china is facing mounting challenges from misinformation and disinformation cov is a member of the family of viruses that cause sars a global pandemic that killed more than a thousand people in 2003  since the cov pandemic began in february 2019 the chinese government has been struggling to control the spread of misinformation in a report released on 9 april 2019 the chinese academy of social sciences cass warned that the spread of disinformation and false news about cov is hampering the governments efforts to respond to the pandemic  according to the report the chinese media is playing an important role in fuelling the spread of disinformation in particular the online community has played a major role in spreading false information about cov in some cases false information has been deliberately fabricated to mislead communities and instill fear  at the same time the chinese health sector is facing challenges from misinformation and disinformation in particular the government has been struggling to control the spread of rumours about cov among health workers  as a result the government has been forced to launch a number of public awareness campaigns to debunk misinformation these campaigns have been successful in reducing the spread of false information but they have also generated a lot of backlash among the public  in addition the chinese health sector is struggling to deal with the influx of patients infected with cov in response to the increasing number of cases the health ministry has been recruiting more doctors and nurses to deal with the pandemic however the government is also struggling to recruit enough medical personnel to deal with the high number of cov cases  the spread of misinformation and disinformation about cov is hampering chinas government health sector and overall response to the pandemic in order to counter these challenges the chinese government will need to make a concerted effort to control the spread of disinformation and implement public awareness campaigns that are designed to engage the public,gpt3
3,china coronavirus eating wild animals made illegal but ending the trade wont be easy china coronavirus eating wild animals made illegal but ending the trade wont be easy there have been sporadic cases of the coronavirus in china over the past year but the virus has not yet caused any fatalities the china center for disease control and prevention cdc has warned citizens about the risk of contracting the virus from wild animals and between june and september 2017 officials located and destroyed more than 20000 wild animal carcasses suspected of containing the virus  however its difficult to enforce bans on hunting and consuming wild animals especially in rural areas where these activities are often enjoyed by the locals in addition the illegal trade in wild animals is likely to continue regardless of any new regulations as a result ending the trade in wild animals will not be easy  aug 3 2019 by bbc  the chinese government has announced that it is making eating wild animals illegal following a public outcry over the spread of a coronavirus but ending the trade in these animals is not going to be easy  monday jun 20 2019  melbourne afp  eating wild animals is now illegal in china but ending the trade in these animals is not going to be easy experts say  the country banned hunting and capturing wild animals including venison boar rabbit and pheasant earlier this year as part of efforts to prevent the coronavirus which has killed dozens of people in the country  but those caught hunting or illegally trading in these animals can face heavy fines jail time or both  anyone caught hunting or trapping wild animals could be fined up to 200000 yuan 28000 us dollars and face up to two years in jail said chen weidong an expert on wildlife management at the beijingbased wildlife research institute  its going to be very difficult to end the trade in wild animals as there are a lot of people involved he added  law enforcement is going to need to be stepped up and more resources put into enforcement if its done slowly and gradually its possible it could be done but its going to be very difficult  china has been struggling to contain the virus since it first emerged earlier this year with dozens of people diagnosed with the virus and a number of fatalities  the world health organization has said the coronavirus is probably spread through contact with respiratory secretions such as saliva or mucus from an infected person   2019 afp,gpt3
4,chinas economy could shrink for the first time in decades because of the coronavirus chinas economy could shrink for the first time in decades because of the coronavirus the chinese economy could shrink for the first time in decades because of the coronavirus according to a report by the international monetary fund the virus has killed more than 1000 people in saudi arabia qatar and bahrain and is believed to be causing respiratory illnesses there the imf warns that the economies of those countries could be stunted as well as other countries in the region chinese exports to the three countries could shrink by around 10 due to the virus the imf said the countrys top economic planner said wednesday  the economy could contract by up to 3 percent this year and by another 1 or 2 percent in 2016 if the coronavirus continues to spread said deputy premier zhu guangyao  the chinese economy is not just based on the growth of exports and investment but also domestic consumption zhu said in a speech in beijing if the consumption side suffers a setback the growth of exports and investment will also decline  zhu said the chinese government was taking all possible measures to contain the virus which has caused a global health emergency  the deputy premiers comments are the first time a senior government official has publicly warned of the possible economic consequences of the coronavirus  the world health organization has said the virus could cause up to 5 billion in economic losses this year and more if the virus spreads to other countries  zhus comments suggest that beijing is already taking the economic risks of a pandemic into account as it plans its response  china has been a top donor of medical aid to the who and has dispatched teams of health experts to help contain the virus  the chinese government has also said it will provide financial aid to people affected by the virus  zhus comments come as the who issues an update on the global response to the pandemic  the who says the number of confirmed cases of the coronavirus has reached 10000 with more than 4000 people dead  the who is urging countries to ramp up their response to the pandemic and has called for more funding to help fight it,gpt3
5,china and japans budding relationship in the time of coronavirus china and japans budding relationship in the time of coronavirus pandemic  9 august 2016  china and japans burgeoning relationship in the time of coronavirus pandemic    in the wake of the coronavirus pandemic china has been one of japans most important bilateral partners close economic ties enhanced cooperation on public health and a shared concern for global security have helped create a strong relationship  there has been cooperation on a number of fronts for example chinese and japanese medical teams were the first to respond to the pandemic and both countries have sent humanitarian aid to saudi arabia and the united states in addition there has been a notable increase in trade with china now japans largest trading partner  there has also been cooperation on regional issues for example beijing has vigorously supported tokyos bid for a permanent seat on the un security council and both countries have worked together to resolve territorial disputes in the east china sea  in the light of the pandemic the two countries have also strengthened cooperation on counterterrorism china has been a key partner in the coalition against the islamic state and has provided support for the deployment of japanese troops in iraq and syria  in the future the two countries will continue to work together to promote regional peace and security and to address global challenges such as climate change  china and japan have been close economic partners for many years and share a complex history their relationship has been marked by periods of tension and cooperation but has generally been stable the current outbreak of the coronavirus has tested chinas responsiveness to international crises and shown the importance of chinas role in the global response to the virus at the same time there are concerns that chinas rapidly growing economy may divert resources from efforts to prevent the virus from spreading more widely and that chinas military ambitions could complicate relations with other countries in the region,gpt3
6,coronavirus is fast becoming an economic pandemic coronavirus is fast becoming an economic pandemic a report published in the journal the lancet last month has warned that coronavirus is fast becoming an economic pandemic as the costs of treating patients increase and economies feel the pinch  the report entitled a global economic analysis of coronavirus disease prepared by the lancet commission on economic risk assessment found that the cost of managing patients with coronavirus increases rapidly with severity of the condition with a per patient cost of 34000 for patients in the most severe category  this is an alarming development as the impact of this virus on economies is already being felt said professor keiji fukuda chair of the commission and head of the division of global health at jichi medical university in japan  worldwide the economic cost of coronavirus is estimated to be us225 billion and is expected to grow to us449 billion by 2021 the report added  while coronavirus disease is most commonly associated with severe respiratory illness in humans there is now clear evidence that the virus can also cause significant economic losses  through work absenteeism loss of productivity and other costs  in both developed and developing countries  the impact of coronavirus on economies is already being felt said professor keiji fukuda chair of the commission and head of the division of global health at jichi medical university in japan  the coronavirus is fast becoming an economic pandemic with mounting costs and disruption to economies around the world the world health organization who has warned  the virus is responsible for severe respiratory illness including pneumonia and has killed more than 3500 people since september 2013  last month the who said the pandemic was expected to cost global economies up to 240 billion by 2020  and this week the organization said the virus was now also spreading rapidly through human populations with new cases reported in 23 countries  this is an economic pandemic said dr tedros adhanom ghebreyesus who directorgeneral  we are seeing costs increase  in terms of health care loss of productivity and disruptions to economies  as well as large impacts on social and human security  the who said it was continuing to provide support to countries hit hardest by the pandemic including by funding research into new vaccines and treatments  it added that the global response to the virus had been far too slow and called for a systematic approach to combatting the virus,gpt3
7,a history of wuhan onetime chinese capital and coronavirus epicenter a history of wuhan onetime chinese capital and coronavirus epicenter wuhan was a chinese capital for over a thousand years it became the focal point of a spread of the sars coronavirus in 2003 and remained an epicenter for the epidemic until it was largely contained in spring 2004 the city was also the site of some of the earliest research into the virus  wuhan formerly known as wuchang is the capital of hubei province and the most populous city in central china established in 316 bc it has been one of the most important political and cultural centres in china and was the countrys first capital  on 27 may 2019 wuhan was declared as the epicenter of the sarscov2 coronavirus epidemic as of 11 july 2019 a total of 148 cases with 38 fatalities had been reported from the city the global health community has intensified its response to the virus in wuhan deploying additional teams of experts and resources to support the citys response  wuhan once the capital of china is now a major epicenter of the global coronavirus pandemic wuhan has a long and complex history which is highlighted by its pivotal role in the development of chinese civilization  the city of wuhan was first founded in the 7th century bce by the zhou dynasty it became the capital of china during the tang dynasty 618907 ce wuhan was the center of chinese culture and learning and played a significant role in the development of chinese civilization  during the communist revolution in 1949 wuhan was the site of major fighting between the communist forces and the nationalist forces wuhan was later renamed hubei and became the capital of the newly created hubei province  the wuhan incident also known as the wuhan purge occurred in 1957 when the communist party of china cpc carried out a countercoup against the nationalist party of china npc thousands of people were killed or imprisoned as a result of the wuhan incident  in recent years wuhan has experienced a significant growth in its economy the city is now a major transportation hub and has become a major tourist destination wuhan is also a key center for the development of the chinese internet and technology industries  the wuhan coronavirus outbreak began in december 2013 as of september 2017 there have been over 1000 cases of the virus reported in wuhan and surrounding areas the majority of the cases have been in patients who are elderly or have medical conditions that make them vulnerable to illness the wuhan outbreak has been complicated by the fact that many of the patients have not been able to communicate their symptoms to health officials  the wuhan outbreak has had a major impact on the city and its population many businesses have closed down and the city has seen a significant decline in tourism the outbreak has also had a major impact on the health of the residents of wuhan many older residents have become very sick and a number of them have died as a result of the virus,gpt3
8,global stocks pull back from the edge after historic selloff global stocks pull back from the edge after historic selloff the dow jones industrial average djia 026 pulled back from its 52week high of 2736224 but was still up more than 350 points or 25 at 2660615 the sp 500 index spx 009 lost 25 to 279212 and the nasdaq composite index comp 025 was down 24 at 7673  the move came after stocks tumbled more than 3 on wednesday their worst day since the global financial crisis amid worries about a global trade war  the carnage on wall street continued on thursday with the dow falling as much as 421 points or 27 and the sp 500 shedding 28 at 270606 for the week the sp 500 shed 67 its worst weekly performance since february  investors are spooked by the global trade war and the potential for a sharperthanexpected us recession said rana foroohar senior economist at millward brown  providing critical information for the us trading day subscribe to marketwatchs free need to know newsletter sign up here  us stocks were down sharply on wednesday morning after a recordbreaking selloff overnight  the dow jones industrial average dropped more than 1500 points or nearly 5 before ending the day down more than 2000 points the sp 500 and the nasdaq composite lost nearly 3 and 5 respectively  the selloff is the largest oneday percentage drop in the stock market since the great recession  the market volatility is likely a result of a mix of factors including rising interest rates slowing global growth trade tensions between the us and china and concerns over a bubble in the stock market  investors are also grappling with rising corporate debt levels which could lead to a pullback in spending and a slowdown in economic growth,gpt3
9,chinese diplomat promotes conspiracy theory that us military brought virus to wuhan chinese diplomat promotes conspiracy theory that us military brought virus to wuhan on nov 12 a chinese diplomat posted a conspiracy theory on his weibo account that the us military had brought the h7n9 virus to wuhan the post quickly garnered attention and was shared over 1000 times  according to the post the us military had purposefully brought the virus to wuhan in order to create a global pandemic the diplomat claimed that the us government was complicit in the viruss spread and was using it as a pretext to wage war on china  the post has been widely denounced as inaccurate and malicious it has also sparked public outrage and calls for the diplomat to be held accountable  on july 28 a chinese diplomat posted a video on weibo accusing the united states of intentionally spreading a virus in wuhan the video which has been deleted alleges that the virus was deliberately released in order to weaken china  the diplomat who identified himself only as zou bin said that he had spoken to medical personnel who had found telltale signs of the us militarys intentional release of the virus he went on to claim that the us was using the virus as an excuse to invade china  china has been on high alert for any possible pandemic following a rash of major outbreaks in other parts of the world the country has repeatedly warned its citizens about the dangers of the virus and urged them to maintain strict hygiene measures  there is no evidence to support the claims made in the video wuhan was hit by a major outbreak of the h7n9 virus in february but no evidence has emerged to suggest that the disease was caused by american forces,gpt3
